GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo-workshop,com.stalin.demo,DemoWorkshopApplication,8,0,0,0,3,0,2,0,2,0
demo-workshop,com.stalin.demo.controller,RepositoryDetailsController,184,0,4,0,35,0,5,0,3,0
